date,day,property,type,ref,title_or_page,format,owner,signal,rationale
2026-08-04,Tue,The Scope,New article,15,From a paper DUERP to ISO 45001: the gap is smaller than it looks,Reference,Ugo Le Borgne,qhse / normes-et-systemes-de-management / iso-45001,
2026-08-04,Tue,The Scope,New article,16,ISO 45001 on a construction site: what an auditor looks at first,Reference,Ugo Le Borgne,qhse / normes-et-systemes-de-management / iso-45001,
2026-08-05,Wed,The Scope,New article,17,The worker participation clause: what consultation must actually look like,Reference,Tristan Salaün,qhse / normes-et-systemes-de-management / iso-45001,
2026-08-05,Wed,The Scope,New article,18,"ISO 45001 in a logistics warehouse: forklifts, TMS and the night shift",Reference,Ugo Le Borgne,qhse / normes-et-systemes-de-management / iso-45001,
2026-08-06,Thu,The Scope,New article,19,"MASE or ISO 45001: choose by client base, not by content",Feature,Ugo Le Borgne,qhse / normes-et-systemes-de-management / iso-45001,
2026-08-06,Thu,The Scope,New article,20,Contractors under ISO 45001: procurement is a safety clause,Reference,Ugo Le Borgne,qhse / normes-et-systemes-de-management / iso-45001,
2026-08-07,Fri,The Scope,New article,21,Safety indicators that mean something: beyond the TF and TG,Reference,Tristan Salaün,qhse / normes-et-systemes-de-management / iso-45001,
2026-08-07,Fri,The Scope,New article,1,"ISO 9001 in 2026 is a market-access credential, not a quality project",Feature,Pierre Poirmeur,qhse / normes-et-systemes-de-management / iso-9001,
2026-08-10,Mon,The Scope,New article,2,Running ISO 9001 without a quality manager,Reference,Tristan Salaün,qhse / normes-et-systemes-de-management / iso-9001,
2026-08-10,Mon,The Scope,New article,3,Stage 1 vs stage 2: what happens in each certification audit,Reference,Ugo Le Borgne,qhse / normes-et-systemes-de-management / iso-9001,
2026-08-11,Tue,The Scope,New article,4,"Risk-based thinking is a clause, not a philosophy: what auditors accept",Reference,Tristan Salaün,qhse / normes-et-systemes-de-management / iso-9001,
2026-08-11,Tue,The Scope,New article,5,ISO 9001 for a software company: what product conformity means when the product ships weekly,Reference,Tristan Salaün,qhse / normes-et-systemes-de-management / iso-9001,
2026-08-12,Wed,The Scope,New article,6,The documented information ISO 9001 actually requires: the full list,Reference,Pierre Masse,qhse / normes-et-systemes-de-management / iso-9001,
2026-08-12,Wed,The Scope,New article,7,"One system, two standards: integrating ISO 9001 and ISO 14001",Reference,Ugo Le Borgne,qhse / normes-et-systemes-de-management / iso-9001,
2026-08-13,Thu,The Scope,New article,8,Writing a corrective action an auditor accepts,Reference,Tristan Salaün,qhse / normes-et-systemes-de-management / iso-9001,
2026-08-13,Thu,The Scope,New article,9,The environmental aspects analysis: how deep is deep enough,Reference,Ugo Le Borgne,qhse / normes-et-systemes-de-management / iso-14001,
2026-08-14,Fri,The Scope,New article,10,ISO 14001 vs EMAS: what the EU scheme adds and who needs it,Reference,Alexis de Taillac,qhse / normes-et-systemes-de-management / iso-14001,
2026-08-14,Fri,The Scope,New article,11,ISO 14001 on a construction site: aspects that dominate and the ones that don't,Reference,Ugo Le Borgne,qhse / normes-et-systemes-de-management / iso-14001,
2026-08-17,Mon,The Scope,New article,12,The compliance obligations register: keeping the legal watch alive after certification,Reference,Tristan Salaün,qhse / normes-et-systemes-de-management / iso-14001,
2026-08-17,Mon,The Scope,New article,13,"ISO 14001 in an electronics plant: chemicals, energy and the aspects register",Reference,Tristan Salaün,qhse / normes-et-systemes-de-management / iso-14001,
2026-08-18,Tue,The Scope,New article,14,"What an ISO 14001 certificate covers in an EcoVadis assessment, and what it doesn't",Reference,Pierre Masse,qhse / normes-et-systemes-de-management / iso-14001,
2026-08-18,Tue,The Scope,New article,22,MASE explained to a non-French headquarters,Reference,Ugo Le Borgne,qhse / normes-et-systemes-de-management / mase,
2026-08-19,Wed,The Scope,New article,23,The MASE 2024 manual: what changed and what to update,Reference,Ugo Le Borgne,qhse / normes-et-systemes-de-management / mase,
